ID,Nombre de la serie,Género,Elenco,Año,Temporadas,Pais
133,Johnny Test,Infantil,James Arnold Taylor,2005,14,Estados Unidos
134,The Looney Tunes Show,Infantil,Jeff Bergman,2011,2,Estados Unidos
135,The Suite Life of Zack and Cody,Infantil,Dylan Sprouse,2005,3,Estados Unidos
136,Hannah Montana,Infantil,Miley Cyrus,2006,4,Estados Unidos
137,FightWorld,Biográfica,Frank Grillo,2018,1,Estados Unidos
138,Last Chance U,Biográfica,,2016,5,Estados Unidos
139,Formula 1: Drive to Survive,Biográfica,Lewis Hamilton,2019,3,Estados Unidos
140,Mindhunter,Terror,Jonathan Groff,2017,2,Estados Unidos
141,Criminal Minds,Policial,Thomas Gibson,2005,15,Estados Unidos
142,Brooklyn 99,Comedia,Andy Samberg,2013,7,Estados Unidos
143,Two and a Half Men,Comedia,Charlie Sheen,2003,12,Estados Unidos
144,The Big Bang Theory,Comedia,Jim Parsons,2007,12,Estados Unidos
145,American Horror Story,Terror,Evan Peters,2011,9,Estados Unidos
146,Scream Queens,Terror,Emma Roberts,2015,2,Estados Unidos
147,Young Sheldon,Comedia,Iain Armitage,2017,4,Estados Unidos
148,Chilling Adventures of Sabrina,Terror,Kiernan Shipka,2018,4,Estados Unidos
149,The Avengers: Earth Mightiest Heroes,Infantil,Brian Bloom,2010,2,Estados Unidos
150,Art Attack,Infantil,Neil Buchanan,1990,10,Reino Unido
