Nombre de la serie,Género,Elenco,Año,Temporadas,Pais
Smallville,Superheroes,Tom Welling,2001,10,Estados Unidos
Supergirl,Superheroes,Melissa Benoist,2015,6,Estados Unidos
Swamp Thing,Superheroes,Derek Mears,2019,1,Estados Unidos
The Flash,Superheroes,Grant Gustin,2014,7,Estados Unidos
The Mandalorian,Superheroes,Pedro Pascal,2019,2,Estados Unidos
Titans,Superheroes,Brenton Thwaites,2018,2,Estados Unidos
Umbrella Academy,Superheroes,Elliot Page,2019,2,Estados Unidos
Wandavision,Superheroes,Elizabeth Olsen,2021,1,Estados Unidos
3%,Terror,Bianca Comparato,2016,4,Brasil
American Horror Story,Terror,Evan Peters,2011,9,Estados Unidos
Chilling Adventures of Sabrina,Terror,Kiernan Shipka,2018,4,Estados Unidos
Drácula,Terror,Claes Bang,2020,1,Reino Unido
Kalifat,Terror,Gizem Erdogan,2020,1,Suecia
Lost,Terror,Evangeline Lilly,2004,6,Estados Unidos
Marianne,Terror,Délia Espinat Dief,2019,1,Francia
Mindhunter,Terror,Jonathan Groff,2017,2,Estados Unidos
Scream Queens,Terror,Emma Roberts,2015,2,Estados Unidos
Teen Wolf,Terror,Tyler Posey,2011,6,Estados Unidos
The Order,Terror,Sarah Grey,2019,2,Estados Unidos
The Walking Dead,Terror,Norman Reedus,2010,10,Estados Unidos
Trapped,Terror,Ólafur Darri Ólafsson,2015,2,Islandia
You,Terror,Penn Badgley,2018,2,Estados Unidos
